    date col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15
 2020-May-15 00:00     22 42 22.86 -17 34 25.0      9.      7. 2.99192220796665 -22.5626348  79.0268 /L  19.5213
 2020-May-17 00:00     22 44 23.66 -17 30 10.7      9.      7. 2.96579684414007 -22.6707460  80.4642 /L  19.6193
 2020-May-19 00:00     22 46 21.59 -17 26 18.7      9.      7. 2.93955531336511 -22.7636095  81.9123 /L  19.7048
 2020-May-21 00:00     22 48 16.57 -17 22 49.6      9.      7. 2.91321580599149 -22.8402324  83.3714 /L  19.7775
 2020-May-23 00:00     22 50 08.52 -17 19 44.3      9.      7. 2.88679762688405 -22.8996839  84.8419 /L  19.8370
 2020-May-25 00:00     22 51 57.35 -17 17 03.6      9.      7. 2.86032108069491 -22.9411868  86.3241 /L  19.8828
 2020-May-27 00:00     22 53 42.97 -17 14 48.3      9.      7. 2.83380720728756 -22.9642717  87.8182 /L  19.9146
 2020-May-29 00:00     22 55 25.31 -17 12 58.9      9.      7. 2.80727734312550 -22.9689109  89.3244 /L  19.9320
 2020-May-31 00:00     22 57 04.29 -17 11 36.3      9.      7. 2.78075257160166 -22.9555714  90.8431 /L  19.9347
 2020-Jun-02 00:00     22 58 39.83 -17 10 41.1      9.      7. 2.75425317403952 -22.9251480  92.3746 /L  19.9224
 2020-Jun-04 00:00     23 00 11.85 -17 10 13.8      9.      7. 2.72779828778630 -22.8786449  93.9192 /L  19.8947
 2020-Jun-06 00:00     23 01 40.26 -17 10 15.2      9.      7. 2.70140611840913 -22.8165570  95.4775 /L  19.8513
 2020-Jun-08 00:00     23 03 04.98 -17 10 45.8      9.      7. 2.67509485984252 -22.7383742  97.0500 /L  19.7919
 2020-Jun-10 00:00     23 04 25.89 -17 11 46.5      9.      7. 2.64888382789681 -22.6427481  98.6372 /L  19.7159
 2020-Jun-12 00:00     23 05 42.89 -17 13 17.8      9.      7. 2.62279409365137 -22.5280844 100.2397 /L  19.6230
 2020-Jun-14 00:00     23 06 55.85 -17 15 20.4      9.      7. 2.59684850312787 -22.3929365 101.8579 /L  19.5127
