    date col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15
 1985-Nov-15 00:00     04 00 42.95 +22 04 14.5   6.722  14.285 0.73718520427549 -31.4700594 170.1092 /L   5.6649
 1985-Nov-25 00:00     02 15 25.10 +18 24 12.6   6.047  14.027 0.62333047181196  -6.3229865 154.5321 /T  15.6614
 1985-Dec-05 00:00     00 28 54.80 +10 39 21.4   5.841  14.618 0.66579761228425  19.4566006 117.6519 /T  37.8608
 1985-Dec-15 00:00     23 18 25.14 +03 53 47.1   5.902  15.216 0.82165832632675  32.3058327  88.8455 /T  50.8347
 1985-Dec-25 00:00     22 37 01.76 -00 19 40.9   5.919  15.518 1.01964817515110  35.0821083  67.6001 /T  54.6644
 1986-Jan-04 00:00     22 10 41.09 -03 00 02.7   5.789  15.503 1.21683370900661  32.5221759  50.4539 /T  52.0862
 1986-Jan-14 00:00     21 51 03.79 -04 58 20.1   5.500  15.191 1.38813800881596  26.1918607  35.2255 /T  44.1502
 1986-Jan-24 00:00     21 33 31.14 -06 47 10.3   5.097  14.603 1.51189099565400  15.9494294  20.8375 /T  30.6178
 1986-Feb-03 00:00     21 15 38.52 -08 48 56.7   4.720  13.877 1.56351066668255   1.1892138   8.1362 /T  13.3589
 1986-Feb-13 00:00     20 57 16.88 -11 15 24.7   4.590  13.985 1.52038685721552 -16.1061960  12.0924 /L  20.4270
 1986-Feb-23 00:00     20 39 38.83 -14 08 42.0   4.747  14.631 1.38348449344536 -30.4360877  25.9878 /L  41.2459
 1986-Mar-05 00:00     20 22 17.51 -17 39 04.7   4.971  15.100 1.17934052806403 -39.4056203  40.6617 /L  56.5333
 1986-Mar-15 00:00     20 00 52.33 -22 27 26.5   5.059  15.217 0.93724332481648 -43.6585045  56.5951 /L  64.8389
 1986-Mar-25 00:00     19 22 42.90 -30 12 38.5   4.914  14.877 0.68564205981141 -42.1927310  76.4313 /L  65.0056
 1986-Apr-04 00:00     17 41 32.13 -42 56 01.2   4.587  13.969 0.47526184111390 -26.9370349 106.6547 /L  51.5011
