name|a|e|M_dg|n_cy|Node_dg|i_dg|w_dg
# http://www.met.rdg.ac.uk/~ross/Astronomy/Planets.html
Mercury| 0.38709893  |0.20563069  |174.794  |149472.6738 | 48.33167  | 7.00487 |77.45645	
Venus  | 0.72333199  |0.00677323  |50.407   |58517.8149  | 76.68069  | 3.39471 | 131.53298	
Earth  | 1.00000011  |0.01671022  |357.525  |35999.3720  | 174.876   | 0.00005 | 102.94719
Mars   | 1.52366231  |0.09341233  |19.387   |19140.3023  | 49.57854  | 1.85061 | 336.04084	
Jupiter| 5.20336301  |0.04839266  |18.819   |3033.6272   | 100.55615 | 1.30530 | 14.75385
Saturn | 9.53707032  |0.05415060  |320.348  |1213.8664   | 113.71504 | 2.48446 | 92.43194
Uranus | 19.19126393 |0.04716771  |142.956  |426.9282    | 74.22988  | 0.76986 |170.96424
Neptune| 30.06896348 |0.00858587  |267.765  |217.9599    | 131.72169 | 1.76917 | 44.97135
Pluto  | 39.48168677 |0.24880766  |15.023   |146.3183    | 110.30347 | 17.14175| 224.06676	
