month|ut|m|r|A|x|y
Febr|4.01|11.4|1.987|1.249|0.2982|10.92
Febr|5.00|11.5|1.981|1.252|0.2969|11.01
Febr|9.02|11.5|1.958|1.266|0.2918|10.99
Febr|10.02|11.3|1.952|1.270|0.2905|10.78
Febr|25.03|11.5|1.865|1.335|0.2707|10.77
March|7.07|11.5|1.809|1.382|0.2574|10.80
March|14.03|11.5|1.772|1.415|0.2485|10.75
March|30.05|11.0|1.693|1.487|0.2287|10.14
April|3.05|11.1|1.674|1.504|0.2238|10.21
April|10.06|10.9|1.643|1.532|0.2156|9.97
April|26.07|10.7|1.582|1.592|0.1992|9.69
May|1.08|10.6|1.566|1.610|0.1948|9.57
May|3.07|10.7|1.560|1.617|0.1931|9.66
May|8.07|10.7|1.545|1.634|0.1889|9.63
May|26.09|10.8|1.507|1.696|0.1781|9.65
May|28.09|10.6|1.504|1.703|0.1772|9.44
May|29.09|10.6|1.503|1.707|0.1770|9.44
June|2.10|10.5|1.498|1.721|0.1755|9.32
June|6.09|10.4|1.495|1.736|0.1746|9.20

