name,e,f_failed,r_failed,v_failed,nc_failed
C/2000 O1 (Koehn),1.00000217,0,0,0,63
C/2003 C6 (SOHO),1.0,1,1,1,0
C/2003 C5 (SOHO),1.0,7,257,1,0
C/2003 D1 (SOHO),1.0,1,0,1,0
C/2002 Q12 (SOHO),1.0,3,23,1,0
C/2002 Q13 (SOHO),1.0,1,1,1,0
C/2003 J5 (SOHO),1.0,1,1,1,0
C/2003 J6 (SOHO),1.0,3,1,1,0
C/2002 Q14 (SOHO),1.0,3,1,1,0
C/2003 J4 (SOHO),1.0,3,23,1,0
C/2002 Q11 (SOHO),1.0,1,0,1,0
C/2002 M1 (SOHO),1.0,1,0,1,0
C/2002 W10 (SOHO),1.0,3,1,1,0
C/2003 C4 (SOHO),1.0,1,1,1,0
C/2003 J3 (SOHO),1.0,3,23,1,0
C/2002 R7 (SOHO),1.0,1,0,1,0
C/2002 S2 (SOHO),1.0,1,1,1,0
C/2003 B2 (SOHO),1.0,7,257,1,0
C/2002 R8 (SOHO),1.0,1,0,0,0
C/2003 M7 (SOHO),1.0,3,23,1,0
C/2003 B3 (SOHO),1.0,1,1,1,0
C/2003 M8 (SOHO),1.0,1,1,1,0
C/2003 C1 (SOHO),1.0,7,257,1,0
C/2002 R6 (SOHO),1.0,1,1,1,0
C/2003 J7 (SOHO),1.0,1,0,1,0
C/2003 C2 (SOHO),1.0,5,177,1,0
C/2003 M9 (SOHO),1.0,1,1,1,0
C/2003 C3 (SOHO),1.0,3,23,1,0
C/2003 M10 (SOHO),1.0,1,1,1,0
C/2003 J9 (SOHO),1.0,3,23,1,0
C/2003 J8 (SOHO),1.0,3,23,1,0
C/2002 Q8 (SOHO),1.0,1,0,0,0
C/2002 Q9 (SOHO),1.0,1,0,0,0
C/2003 F4 (SOHO),1.0,1,1,1,0
C/2002 N1 (SOHO),1.0,1,1,1,0
C/2002 M8 (SOHO),1.0,1,1,1,0
C/2002 M7 (SOHO),1.0,7,257,1,0
C/2003 F5 (SOHO),1.0,7,257,1,0
C/2002 M6 (SOHO),1.0,7,257,1,0
C/2003 H8 (SOHO),1.0,3,23,1,0
C/2002 M5 (SOHO),1.0,1,1,1,0
C/2002 O1 (SOHO),1.0,1,0,1,0
C/2002 M4 (SOHO),1.0,1,1,1,0
C/2003 H6 (SOHO),1.0,1,0,0,0
C/2002 M3 (SOHO),1.0,3,7,1,0
C/2003 G3 (SOHO),1.0,1,0,0,0
C/2003 G4 (SOHO),1.0,3,23,1,0
C/2003 G5 (SOHO),1.0,1,1,1,0
C/2002 M2 (SOHO),1.0,1,1,1,0
C/2003 F3 (SOHO),1.0,7,257,1,0
C/2003 M6 (SOHO),1.0,3,3,1,0
C/2003 H12 (SOHO),1.0,1,1,1,0
C/2002 Q7 (SOHO),1.0,7,257,1,0
C/2002 Q6 (SOHO),1.0,1,1,1,0
C/2007 M5 (SOHO),1.0,74,4989,35,0
C/2003 E2 (SOHO),1.0,7,257,1,0
C/2002 P3 (SOHO),1.0,1,0,0,0
P/2002 P2 (SOHO),1.0,7,257,1,0
C/2003 J2 (SOHO),1.0,1,1,1,0
C/2003 M11 (SOHO),1.0,1,0,1,0
C/2003 H9 (SOHO),1.0,1,1,1,0
C/2003 E3 (SOHO),1.0,1,1,1,0
C/2003 E4 (SOHO),1.0,3,23,1,0
C/2003 H11 (SOHO),1.0,1,1,1,0
C/2002 O3 (SOHO),1.0,1,1,1,0
C/2002 O2 (SOHO),1.0,7,257,1,0
C/2007 M4 (SOHO),1.0,1,1,1,0
C/2003 H10 (SOHO),1.0,3,23,1,0
C/2002 S3 (SOHO),1.0,1,1,1,0
C/2003 A5 (SOHO),1.0,1,1,1,0
C/2002 U9 (SOHO),1.0,3,23,1,0
C/2002 X3 (SOHO),1.0,1,0,1,0
C/2002 V4 (SOHO),1.0,1,0,0,0
C/2003 L6 (SOHO),1.0,3,23,1,0
C/2002 X4 (SOHO),1.0,1,0,1,0
C/2002 V3 (SOHO),1.0,1,1,1,0
C/2003 L4 (SOHO),1.0,3,23,1,0
C/2002 X6 (SOHO),1.0,1,0,0,0
C/2003 L7 (SOHO),1.0,1,1,1,0
C/2002 V6 (SOHO),1.0,3,1,1,0
C/2003 L3 (SOHO),1.0,3,23,1,0
C/2002 U8 (SOHO),1.0,1,1,1,0
C/2002 U7 (SOHO),1.0,1,1,1,0
C/2002 X7 (SOHO),1.0,1,0,1,0
C/2002 X8 (SOHO),1.0,7,257,1,0
C/2003 L8 (SOHO),1.0,1,1,1,0
C/2002 X9 (SOHO),1.0,1,0,1,0
C/2002 V7 (SOHO),1.0,1,0,1,0
C/2002 X10 (SOHO),1.0,3,23,1,0
C/2002 W4 (SOHO),1.0,1,1,1,0
C/2002 W8 (SOHO),1.0,3,1,1,0
C/2002 W7 (SOHO),1.0,1,1,1,0
C/2002 W11 (SOHO),1.0,1,1,1,0
C/2002 W6 (SOHO),1.0,1,1,1,0
C/2002 W5 (SOHO),1.0,7,257,1,0
C/2002 W12 (SOHO),1.0,7,257,1,0
C/2002 W13 (SOHO),1.0,3,23,1,0
C/2002 W14 (SOHO),1.0,3,23,1,0
C/2003 L5 (SOHO),1.0,3,23,1,0
C/2002 W3 (SOHO),1.0,1,1,1,0
C/2002 W15 (SOHO),1.0,1,1,1,0
C/2002 W2 (SOHO),1.0,1,1,1,0
C/2002 W1 (SOHO),1.0,1,1,1,0
C/2007 M6 (SOHO),1.0,1,1,1,0
C/2002 W16 (SOHO),1.0,3,1,1,0
C/2002 U6 (SOHO),1.0,1,0,0,0
C/2002 X11 (SOHO),1.0,3,23,1,0
